curve_id,curve_label,curve_role,panel,quantity,x_log10_1pz,redshift,value_mpc3,colour,linestyle,source
all_seeds_a,All seeds,all_seeds,a,rate,1.4988265766,30.5374501156,1.5910223468e+00,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.5123734229,31.5366939978,1.1543467899e+00,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.5255114144,32.5360118483,8.1904055134e-01,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.5382678006,33.5356632198,5.7416426669e-01,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.5506698475,34.5361068902,4.0128906103e-01,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.5627175452,35.5357094772,2.7660140523e-01,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.5744381598,36.5351503464,1.8465872645e-01,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.5858316878,37.5328993287,1.1825322419e-01,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.5969526416,38.5323508979,7.1900395635e-02,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.6078010211,39.5322787810,4.1985672609e-02,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.6183768296,40.5314247110,2.3674441771e-02,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.6287073266,41.5311696674,1.2905980059e-02,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.6387925054,42.5303847132,6.6278467465e-03,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.6486596254,43.5307105953,3.3507658099e-03,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.6583086867,44.5311570288,1.5977532100e-03,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.6677396925,45.5307114053,7.7530203395e-04,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.6769526395,46.5283392761,3.4222455793e-04,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.6860020434,47.5290783461,1.8757704849e-04,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.6948606479,48.5291241121,1.2545295706e-04,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.7035284497,49.5275743343,8.3752225557e-05,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.0311560999,9.7437550927,1.1220861236e-05,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.0597669515,10.4753767137,7.4370148636e-05,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.0872149900,11.2240464065,3.4160594522e-04,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.1047141402,11.7266511597,9.6388017283e-04,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.1255114146,12.3509267954,3.1565615992e-03,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.1493342424,13.1037383492,8.6890699034e-03,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.1933546838,14.6082669352,3.1168362651e-02,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.2149969339,15.4057819088,6.2512442846e-02,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.2367482117,16.2483760352,1.0475327915e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.2574637146,17.0910475279,1.4153515227e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.2772524702,17.9344402221,1.9088653193e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.3142950611,19.6203038763,4.2546445495e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.3332660971,20.5410117242,5.7763741914e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.3529730844,21.5409950903,6.9848847227e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.3718078366,22.5400746983,7.7343399153e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.4238964224,25.5397252430,9.0473569961e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
