curve_id,curve_label,curve_role,redshift,log10_mbh_seed_msun,phi_mpc3_dex1,colour,linestyle,source
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.0312411940,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.0312411940,1.2582432941e-03,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.0937236133,2.4114805545e-03,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.0937236133,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.0937236133,2.4114805545e-03,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.1562060153,4.9524548410e-03,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.1562060153,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.1562060153,4.9524548410e-03,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.2186884346,1.0316619628e-02,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.2186884346,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.2186884346,1.0316619628e-02,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.2813115567,2.0831326726e-02,#000000,-,Chen+2026 Fig.5a vector path 1261
