Phi [lgM☉⁻¹Mpc⁻³],sigma_Phi [lgM☉⁻¹Mpc⁻³],Mbh [M☉],sigma_Mbh,colour,face colour,shape,label,ADSABS,data
-2.7212930202637486,,18311.289651670177,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.724825842315125,,18477.315128736096,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7288041652557036,,18644.84593172713,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7327824881962837,,18813.895709187993,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7365546078681455,,18984.47823341241,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7365546078681455,,19156.607401565365,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.737086663215822,,19330.297236815135,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7410649861564007,,19505.561889475768,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7450433090969795,,19682.41563815991,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7490216320375582,,19860.872890942057,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.751816195472542,,20040.94818653236,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.751816195472542,,20222.65619546114,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.753325807057098,,20406.011721273888,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7573041299976766,,20591.029701737552,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7594469892747404,,20777.72521005734,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7594469892747404,,20966.113456104755,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7594469892747404,,21156.20978765672,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7594469892747404,,21348.02969164595,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7594469892747404,,21541.588795422696,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7594469892747404,,21736.90286802772,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7594469892747404,,21933.987821477225,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7594469892747404,,22132.859712059035,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7594469892747404,,22333.534741640717,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7594469892747404,,22536.02925898952,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.762911713333053,,22740.35976110432,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
