curve,r_pc,v_km_s,log10_mass_reference,chi2_reduced,source_kind,source_note
point_mass_keplerian,-2.149713696923126,-106.06933976184882,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.193448702211506,-105.00656121140689,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.2380734774680042,-103.95443133898837,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.2836061246818837,-102.91284344847713,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.330065114119634,-101.88169191281565,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.3774692918174125,-100.86087216329348,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.425837887225917,-99.85028067894288,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.4751905210107927,-98.84981497604092,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.5255472130117305,-97.85937359771647,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.576928390363493,-96.87885610366166,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.6293548957821606,-95.90816305994618,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.6828479960199516,-94.94719602893369,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.7374293904920584,-93.99585755929941,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-2.7931212200789908,-93.0540511761475,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
