Phi [lgM☉⁻¹Mpc⁻³],sigma_Phi_low [lgM☉⁻¹Mpc⁻³],sigma_Phi_high [lgM☉⁻¹Mpc⁻³],Mbh [M☉],sigma_Mbh_low,sigma_Mbh_high,shape,label,z_low,z_high,ADSABS,data
-4.44249279809434,0.149267236593808,0.149210580431101,56234132.5190349,0.25,0.25,o,Taylor+2025,3.5,6,https://ui.adsabs.harvard.edu/abs/2025ApJ...986..165T/abstract,https://iopscience.iop.org/0004-637X/986/1/165/suppdata/apjadd15bt3_ascii.txt?doi=10.3847/1538-4357/add15b
-5.11520463605102,0.340727319598705,0.296476407610481,177827941.003892,0.25,0.25,o,Taylor+2025,3.5,6,https://ui.adsabs.harvard.edu/abs/2025ApJ...986..165T/abstract,https://iopscience.iop.org/0004-637X/986/1/165/suppdata/apjadd15bt3_ascii.txt?doi=10.3847/1538-4357/add15b
-9.69,inf,0.3,794328234.724282,0.2,0.2,o,Wu+2022,5.7,6.5,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.2659W/abstract,https://doi.org/10.1093/mnras/stac2833
-9.99,inf,0.3,1258925411.79417,0.2,0.2,o,Wu+2022,5.7,6.5,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.2659W/abstract,https://doi.org/10.1093/mnras/stac2833
-9.21,0.32,0.18,1995262314.96888,0.2,0.2,o,Wu+2022,5.7,6.5,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.2659W/abstract,https://doi.org/10.1093/mnras/stac2833
-9.15,0.28,0.17,3162277660.16838,0.2,0.2,o,Wu+2022,5.7,6.5,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.2659W/abstract,https://doi.org/10.1093/mnras/stac2833
-9.15,0.28,0.17,5011872336.27271,0.2,0.2,o,Wu+2022,5.7,6.5,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.2659W/abstract,https://doi.org/10.1093/mnras/stac2833
-8.86,0.84,0.27,7943282347.24282,0.2,0.2,o,Wu+2022,5.7,6.5,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.2659W/abstract,https://doi.org/10.1093/mnras/stac2833
-10.04,inf,0.3,19952623149.6888,0.2,0.2,o,Wu+2022,5.7,6.5,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.2659W/abstract,https://doi.org/10.1093/mnras/stac2833
-8.84,0.53,0.23,1258925411.79417,0.2,0.2,s,Wu+2022,5.7,6.5,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.2659W/abstract,https://doi.org/10.1093/mnras/stac2833
-8.33,0.42,0.21,1995262314.96888,0.2,0.2,s,Wu+2022,5.7,6.5,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.2659W/abstract,https://doi.org/10.1093/mnras/stac2833
-8.67,0.37,0.2,3162277660.16838,0.2,0.2,s,Wu+2022,5.7,6.5,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.2659W/abstract,https://doi.org/10.1093/mnras/stac2833
-9.15,inf,0.3,7943282347.24282,0.2,0.2,s,Wu+2022,5.7,6.5,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.2659W/abstract,https://doi.org/10.1093/mnras/stac2833
-9.18708664335714,0.381549592483868,0.199923868062317,478630092.322638,0.19,0.19,o,Lai+2024,4.5,5.3,https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.2245L/abstract,https://doi.org/10.1093/mnras/stae1301
-9.14874165128093,0.188500517037501,0.131012884320493,1148153621.49688,0.19,0.19,o,Lai+2024,4.5,5.3,https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.2245L/abstract,https://doi.org/10.1093/mnras/stae1301
-8.85387196432176,0.16840443038939,0.121043692724776,2818382931.26445,0.19,0.19,o,Lai+2024,4.5,5.3,https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.2245L/abstract,https://doi.org/10.1093/mnras/stae1301
-8.86327943284359,0.0913975883697494,0.075467037247551,6760829753.91982,0.19,0.19,o,Lai+2024,4.5,5.3,https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.2245L/abstract,https://doi.org/10.1093/mnras/stae1301
-9.67778070526608,0.208275942427082,0.140178703165037,16218100973.5893,0.19,0.19,o,Lai+2024,4.5,5.3,https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.2245L/abstract,https://doi.org/10.1093/mnras/stae1301
-10.5228787452803,inf,0.301029995663981,39810717055.3497,0.19,0.19,o,Lai+2024,4.5,5.3,https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.2245L/abstract,https://doi.org/10.1093/mnras/stae1301
